nom du fichier;temps_debut;temps_fin;frequence_mediane;tadarida_taxon;tadarida_probabilite;tadarida_taxon_autre;observateur_taxon;observateur_probabilite;validateur_taxon;validateur_probabilite
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_202910_000;0.7;0.8;14.0;piaf;0.96;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_202918_000;0.3;2.0;154.0;noise;0.97;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_202923_000;0.0;2.8;153.0;noise;0.89;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_202923_000;0.2;1.4;10.0;piaf;0.99;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_202936_000;0.4;2.5;153.0;noise;0.97;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_202957_000;0.4;2.0;153.0;noise;0.96;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_202957_000;0.5;1.0;77.0;piaf;0.81;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203032_000;0.4;2.1;153.0;noise;0.96;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203410_000;0.3;2.0;153.0;noise;0.97;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203526_000;0.4;3.7;154.0;noise;0.89;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203635_000;0.4;2.0;154.0;noise;0.88;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203642_000;0.4;2.1;153.0;noise;0.95;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203642_000;0.4;1.8;15.0;piaf;0.99;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203656_000;0.2;2.0;154.0;noise;0.89;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203731_000;0.4;2.4;154.0;noise;0.89;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203731_000;0.1;0.5;15.0;piaf;0.99;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203750_000;0.0;2.1;153.0;noise;0.96;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203806_000;0.0;2.5;153.0;noise;0.89;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203810_000;0.4;2.0;153.0;noise;0.94;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203822_000;0.1;3.8;153.0;noise;0.96;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203832_000;0.2;2.1;154.0;noise;0.91;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203842_000;0.4;2.5;154.0;noise;0.96;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203847_000;0.4;2.5;153.0;noise;0.91;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203847_000;0.3;2.2;8.0;piaf;0.99;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203858_000;0.4;2.0;154.0;noise;0.98;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203905_000;0.0;2.4;154.0;noise;0.93;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203905_000;0.2;0.3;24.0;piaf;0.94;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203912_000;0.4;2.5;153.0;noise;0.94;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203912_000;1.3;1.6;77.0;piaf;0.78;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203917_000;0.0;3.5;153.0;noise;0.8;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203917_000;0.1;2.3;27.0;piaf;0.71;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203922_000;0.3;3.9;153.0;noise;0.93;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203922_000;0.4;3.6;16.0;piaf;0.95;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203922_000;0.4;3.7;153.0;Rhifer;0.68;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203930_000;0.3;4.1;153.0;noise;0.85;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203930_000;0.0;0.1;15.0;piaf;0.11;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203942_000;0.1;2.4;154.0;noise;0.9;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203942_000;0.9;1.0;23.0;piaf;0.43;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203949_000;0.4;2.6;153.0;noise;0.94;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203955_000;0.4;3.4;154.0;noise;0.84;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_203955_000;0.0;1.4;24.0;piaf;0.98;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_204002_000;0.4;2.6;154.0;noise;0.78;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_204002_000;0.5;1.5;22.0;piaf;0.94;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_204007_000;0.4;3.8;154.0;noise;0.92;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_204012_000;0.4;2.6;153.0;noise;0.96;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_204019_000;0.4;3.2;153.0;noise;0.83;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_204019_000;1.0;2.9;52.0;piaf;0.65;"""";"""";"""";"""";""""
Car640380-2026-Pass2-Z1-PaRecPR1925492_20260422_204026_000;0.4;3.6;154.0;noise;0.94;"""";"""";"""";"""";""""
